Channel_Bus_Aux,Mono_Stereo
Channel 1,Mono
Channel 2,Mono
Channel 3,Mono
Channel 4,Mono
Channel 5,Mono
Channel 6,Mono
Channel 7,Mono
Channel 8,Mono
Channel 9,Stereo
Channel 10,Stereo
Channel 11,Stereo
Channel 12,Stereo
Channel 13,Stereo
Channel 14,Stereo
Channel 15,Stereo
Channel 16,Stereo
Channel 17,Stereo
Channel 18,Stereo
Channel 19,Stereo
Channel 20,Stereo
Channel 21,Stereo
Channel 22,Stereo
Channel 23,Stereo
Channel 24,Stereo
Channel 25,Stereo
Channel 26,Stereo
Channel 27,Stereo
Channel 28,Stereo
Channel 29,Stereo
Channel 30,Stereo
Channel 31,Stereo
Channel 32,Stereo
Channel 33,Stereo
Channel 34,Stereo
Channel 35,Mono
Channel 36,Mono
Channel 37,Mono
Channel 38,Mono
Channel 39,Stereo
Channel 40,Stereo
Channel 41,Stereo
Channel 42,Stereo
Channel 43,Stereo
Channel 44,Stereo
Channel 45,Stereo
Channel 46,Stereo
Channel 47,Stereo
Channel 48,Stereo
Channel 49,Stereo
Channel 50,Stereo
Channel 51,Stereo
Channel 52,Stereo
Channel 53,Stereo
Channel 54,Stereo
Channel 55,Stereo
Channel 56,Stereo
Channel 57,Stereo
Channel 58,Stereo
Channel 59,Mono
Channel 60,Mono
Channel 61,Stereo
Channel 62,Stereo
Channel 63,Stereo
Channel 64,Stereo
Bus 1,Stereo
Bus 2,Stereo
Bus 3,Stereo
Bus 4,Stereo
Bus 5,Stereo
Bus 6,Stereo
Bus 7,Stereo
Bus 8,Stereo
Bus 9,Stereo
Bus 10,Stereo
Bus 11,Stereo
Bus 12,Stereo
Bus 13,Stereo
Bus 14,Stereo
Bus 15,Mono
Bus 16,Mono
Bus 17,Stereo
Bus 18,Stereo
Bus 19,Stereo
Bus 20,Stereo
Bus 21,Stereo
Bus 22,Stereo
Bus 23,Stereo
Bus 24,Stereo
Aux 1,Stereo
Aux 2,Stereo
Aux 3,Stereo
Aux 4,Stereo
Aux 5,Stereo
Aux 6,Stereo
Aux 7,Stereo
Aux 8,Stereo
Aux 9,Stereo
Aux 10,Stereo
Aux 11,Mono
Aux 12,Mono
